work_order_id,part_number_raw,part_number_clean,customer,quantity_ordered,machine_id,operator_id_raw,operator_id_clean,shift_code,lot_id_raw,lot_id_clean,order_date,scheduled_start,actual_start,complexity,material_type,requires_welding,std_labor_hrs
WO-10015,PART-1034,P-1034,Customer E,241,M02,OP013,OP013,Shift A,,,2023-01-03,2023-01-03 07:00:00,2023-01-03 07:28:00,Medium,12ga Steel,False,2.39
WO-10016,P-1004,P-1004,Customer D,333,M06,OP001,OP001,,,,2023-01-03,2023-01-03 13:52:00,2023-01-03 14:00:00,Medium,"3/8"" Plate",True,4.61
WO-10017,P-1002,P-1002,Customer E,286,M01,OP003,OP003,Shift B,,,2023-01-03,2023-01-03 14:29:00,2023-01-03 15:42:00,Medium,Aluminum 5052,False,4.78
WO-10018,P-1030,P-1030,Customer G,226,M01,OP018,OP018,Shift A,,,2023-01-04,2023-01-04 06:36:00,2023-01-04 06:42:00,Medium,12ga Steel,True,2.15
WO-10019,P-1006,P-1006,Customer B,284,M02,OP017,OP017,Shift A,LOT-1002,LOT-1002,2023-01-04,2023-01-04 05:21:00,2023-01-04 06:15:00,Medium,"1/4"" Plate",False,2.57
WO-10020,PART-1011,P-1011,Customer B,291,M05,OP012,OP012,,,,2023-01-04,2023-01-04 14:28:00,2023-01-04 15:51:00,High,Aluminum 5052,True,1.39
WO-10021,P-1034,P-1034,Customer E,256,M02,OP004,OP004,Shift A,,,2023-01-04,2023-01-04 05:19:00,2023-01-04 06:10:00,Medium,12ga Steel,False,2.39
WO-10022,P-1003,P-1003,Customer D,500,M04,Holly Wood,OP017,Shift A,LOT-1002,LOT-1002,2023-01-04,2023-01-04 06:07:00,2023-01-04 07:18:00,Medium,"1/4"" Plate",False,4.63
WO-10023,P-1031,P-1031,Customer B,35,M05,OP009,OP009,Shift A,LOT-1002,LOT-1002,2023-01-04,2023-01-04 05:43:00,2023-01-04 06:47:00,Medium,"1/4"" Plate",True,3.44
WO-10024,P1033,P-1033,Customer F,355,M04,OP002,OP002,Shift A,,,2023-01-04,2023-01-04 05:13:00,2023-01-04 06:04:00,Medium,Stainless 304,True,4.52
WO-10025,P1007,P-1007,Customer B,277,M02,OP020,OP020,Shift A,,,2023-01-04,2023-01-04 07:09:00,2023-01-04 07:42:00,Medium,16ga Steel,True,0.78
WO-10026,P-1013,P-1013,Customer D,394,M02,OP007,OP007,Shift B,,,2023-01-04,2023-01-04 15:28:00,2023-01-04 15:29:00,Low,Stainless 304,True,2.94
WO-10027,P-1029,P-1029,Customer B,135,M04,OP004,OP004,Shift A,,LOT-1002,2023-01-04,2023-01-04 07:36:00,2023-01-04 07:56:00,Low,"1/4"" Plate",True,3.64
WO-10028,p-1028,P-1028,Customer B,163,M06,OP016,OP016,Shift B,,,2023-01-04,2023-01-04 14:29:00,2023-01-04 14:42:00,Low,16ga Steel,False,3.53
WO-10029,P-1008,P-1008,Customer G,117,M05,OP003,OP003,Shift B,,,2023-01-04,2023-01-04 13:51:00,2023-01-04 14:17:00,Low,"3/8"" Plate",False,1.97
WO-10030,P-1016,P-1016,Customer G,151,M05,OP008,OP008,,LOT-1003,LOT-1003,2023-01-04,2023-01-04 13:58:00,2023-01-04 14:40:00,Low,14ga Steel,False,4.13
WO-10031,P-1008,P-1008,Customer G,48,M05,OP006,OP006,Shift B,,,2023-01-04,2023-01-04 14:07:00,2023-01-04 15:35:00,Low,"3/8"" Plate",False,1.97
WO-10032,P-1009,P-1009,Customer A,167,M05,OP015,OP015,Shift A,,,2023-01-04,2023-01-04 06:22:00,2023-01-04 06:27:00,Medium,12ga Steel,False,4.93
WO-10033,P1013,P-1013,Customer D,483,M02,OP004,OP004,Shift A,,,2023-01-05,2023-01-05 07:19:00,2023-01-05 07:39:00,Low,Stainless 304,True,2.94
WO-10034,P1011,P-1011,Customer B,386,M05,OP001,OP001,Shift B,,,2023-01-05,2023-01-05 15:17:00,2023-01-05 15:51:00,High,Aluminum 5052,True,1.39
WO-10035,p-1010,P-1010,Customer A,245,M03,OP017,OP017,Shift A,,,2023-01-05,2023-01-05 05:43:00,2023-01-05 06:12:00,Low,Stainless 304,True,4.08
WO-10036,P-1014,P-1014,Customer A,405,M04,OP009,OP009,Shift A,,,2023-01-05,2023-01-05 06:33:00,2023-01-05 07:55:00,Low,12ga Steel,False,0.62
WO-10037,PART-1032,P-1032,Customer F,143,M06,OP014,OP014,Shift B,,,2023-01-05,2023-01-05 13:34:00,2023-01-05 14:07:00,Medium,Aluminum 5052,False,2.02
WO-10038,P1002,P-1002,Customer E,271,M01,OP020,OP020,Shift A,,,2023-01-05,2023-01-05 06:14:00,2023-01-05 07:27:00,Medium,Aluminum 5052,False,4.78
WO-10039,PART-1012,P-1012,Customer D,285,M04,OP001,OP001,Shift B,,,2023-01-05,2023-01-05 13:08:00,2023-01-05 14:33:00,Medium,"3/8"" Plate",False,1.39
WO-10040,P-1012,P-1012,Customer D,444,M04,OP011,OP011,Shift B,,,2023-01-05,2023-01-05 15:01:00,2023-01-05 15:39:00,Medium,"3/8"" Plate",False,1.39
WO-10041,P-1032,P-1032,Customer F,225,M06,OP011,OP011,Shift B,,,2023-01-05,2023-01-05 14:47:00,2023-01-05 15:35:00,Medium,Aluminum 5052,False,2.02
WO-10042,P-1011,P-1011,Customer B,306,M05,Monica Herrera,OP011,Shift B,,,2023-01-05,2023-01-05 14:32:00,2023-01-05 15:13:00,High,Aluminum 5052,True,1.39
WO-10043,P-1029,P-1029,Customer B,273,M04,OP012,OP012,Shift B,LOT-1002,LOT-1002,2023-01-05,2023-01-05 13:23:00,2023-01-05 14:42:00,Low,"1/4"" Plate",True,3.64
WO-10044,P-1005,P-1005,Customer C,253,M07,OP013,OP013,Shift A,LOT1001,LOT-1001,2023-01-06,2023-01-06 05:53:00,2023-01-06 06:02:00,Low,16ga Steel,False,3.09
WO-10045,P1029,P-1029,Customer B,12,M04,OP016,OP016,Shift B,LOT-1002,LOT-1002,2023-01-06,2023-01-06 13:56:00,2023-01-06 14:09:00,Low,"1/4"" Plate",True,3.64
WO-10046,P1027,P-1027,Customer F,479,M07,OP005,OP005,Shift A,,,2023-01-06,2023-01-06 06:05:00,2023-01-06 07:03:00,Medium,Stainless 304,False,3.84
WO-10047,PART-1008,P-1008,Customer G,323,M05,OP014,OP014,Shift B,,,2023-01-06,2023-01-06 14:44:00,2023-01-06 15:48:00,Low,"3/8"" Plate",False,1.97
WO-10048,P-1027,P-1027,Customer F,136,M07,OP006,OP006,Shift B,,,2023-01-06,2023-01-06 14:53:00,2023-01-06 15:28:00,Medium,Stainless 304,False,3.84
WO-10049,P-1033,P-1033,Customer F,173,M04,OP007,OP007,Shift B,,,2023-01-06,2023-01-06 15:05:00,2023-01-06 15:15:00,Medium,Stainless 304,True,4.52
WO-10050,P-1008,P-1008,Customer G,222,M05,OP009,OP009,Shift A,,,2023-01-06,2023-01-06 05:36:00,2023-01-06 06:45:00,Low,"3/8"" Plate",False,1.97
WO-10051,PART-1029,P-1029,Customer B,304,M04,OP001,OP001,Shift B,LOT-1002,LOT-1002,2023-01-06,2023-01-06 14:54:00,2023-01-06 14:54:00,Low,"1/4"" Plate",True,3.64
WO-10052,P1022,P-1022,Customer G,289,M03,OP011,OP011,Shift B,,,2023-01-06,2023-01-06 15:06:00,2023-01-06 15:34:00,Medium,Stainless 304,False,1.03
WO-10053,P-1031,P-1031,Customer B,249,M05,Lisa Hensley,OP013,Shift A,LOT-1002,LOT-1002,2023-01-06,2023-01-06 06:27:00,2023-01-06 07:46:00,Medium,"1/4"" Plate",True,3.44
WO-10054,P1034,P-1034,Customer E,79,M02,OP017,OP017,Shift A,,,2023-01-06,2023-01-06 05:42:00,2023-01-06 06:05:00,Medium,12ga Steel,False,2.39
WO-10055,p-1020,P-1020,Customer A,435,M06,OP018,OP018,Shift A,,,2023-01-07,2023-01-07 07:07:00,2023-01-07 07:17:00,Low,Aluminum 5052,False,3.38
WO-10056,P-1030,P-1030,Customer G,136,M06,OP019,OP019,Shift A,,LOT-1000,2023-01-07,2023-01-07 06:46:00,2023-01-07 06:48:00,Medium,12ga Steel,True,2.15
WO-10057,P1009,P-1009,Customer A,402,M05,OP005,OP005,Shift A,,LOT-1000,2023-01-07,2023-01-07 05:12:00,2023-01-07 06:29:00,Medium,12ga Steel,False,4.93
WO-10058,PART-1007,P-1007,Customer B,111,M05,OP013,OP013,,LOT1001,LOT-1001,2023-01-07,2023-01-07 05:57:00,2023-01-07 07:25:00,Medium,16ga Steel,True,0.78
WO-10059,P 1015,P-1015,Customer D,410,M07,OP013,OP013,,,,2023-01-07,2023-01-07 05:42:00,2023-01-07 06:50:00,Medium,"3/8"" Plate",False,3.73
WO-10060,p-1027,P-1027,Customer F,431,M07,OP003,OP003,Shift B,,,2023-01-07,2023-01-07 14:05:00,2023-01-07 15:00:00,Medium,Stainless 304,False,3.84
WO-10061,p-1023,P-1023,Customer F,285,M02,OP006,OP006,Shift B,LOT-1000,LOT-1000,2023-01-07,2023-01-07 14:40:00,2023-01-07 15:39:00,Medium,12ga Steel,True,2.76
WO-10062,PART-1027,P-1027,Customer F,134,M07,OP010,OP010,Shift B,,,2023-01-07,2023-01-07 13:05:00,2023-01-07 14:17:00,Medium,Stainless 304,False,3.84
WO-10063,P-1024,P-1024,Customer E,142,M01,OP001,OP001,Shift B,LOT1001,LOT-1001,2023-01-07,2023-01-07 13:57:00,2023-01-07 15:13:00,Low,16ga Steel,False,3.13
WO-10064,P1017,P-1017,Customer D,260,M01,OP019,OP019,Shift A,,,2023-01-07,2023-01-07 05:45:00,2023-01-07 06:15:00,High,Aluminum 5052,False,4.9
WO-10065,P1030,P-1030,Customer G,198,M01,OP012,OP012,Shift B,LOT-1000,LOT-1000,2023-01-07,2023-01-07 13:12:00,2023-01-07 14:19:00,Medium,12ga Steel,True,2.15
WO-10066,P-1022,P-1022,Customer G,128,M03,OP014,OP014,Shift B,,,2023-01-07,2023-01-07 14:53:00,2023-01-07 15:17:00,Medium,Stainless 304,False,1.03
WO-10067,p-1007,P-1007,Customer B,161,M02,OP009,OP009,Shift A,LOT1001,LOT-1001,2023-01-09,2023-01-09 06:44:00,2023-01-09 07:06:00,Medium,16ga Steel,True,0.78
WO-10068,PART-1019,P-1019,Customer E,261,M05,OP019,OP019,Shift A,LOT1001,LOT-1001,2023-01-09,2023-01-09 06:39:00,2023-01-09 06:40:00,Medium,16ga Steel,True,0.85
WO-10069,p-1018,P-1018,Customer H,215,M07,OP012,OP012,Shift B,,LOT-1001,2023-01-09,2023-01-09 13:54:00,2023-01-09 15:07:00,High,16ga Steel,True,2.78
WO-10070,P-1003,P-1003,Customer D,401,M04,OP005,OP005,Shift A,LOT-1002,LOT-1002,2023-01-09,2023-01-09 04:59:00,2023-01-09 06:15:00,Medium,"1/4"" Plate",False,4.63
WO-10071,P1014,P-1014,Customer A,40,M04,OP012,OP012,Shift B,LOT-1000,LOT-1000,2023-01-09,2023-01-09 15:07:00,2023-01-09 15:19:00,Low,12ga Steel,False,0.62
WO-10072,P-1013,P-1013,Customer D,11,M02,OP013,OP013,Shift A,,,2023-01-09,2023-01-09 05:07:00,2023-01-09 06:35:00,Low,Stainless 304,True,2.94
WO-10073,P1030,P-1030,Customer G,483,M01,OP001,OP001,Shift B,LOT-1000,LOT-1000,2023-01-09,2023-01-09 13:44:00,2023-01-09 15:04:00,Medium,12ga Steel,True,2.15
WO-10074,P-1012,P-1012,Customer D,40,M04,OP003,OP003,Shift B,LOT-1004,LOT-1004,2023-01-09,2023-01-09 15:13:00,2023-01-09 15:52:00,Medium,"3/8"" Plate",False,1.39
WO-10075,P-1018,P-1018,Customer H,234,M07,OP003,OP003,,LOT1001,LOT-1001,2023-01-09,2023-01-09 15:27:00,2023-01-09 15:32:00,High,16ga Steel,True,2.78
WO-10076,P 1027,P-1027,Customer F,438,M07,OP016,OP016,Shift B,,,2023-01-09,2023-01-09 12:59:00,2023-01-09 14:14:00,Medium,Stainless 304,False,3.84
WO-10077,P-1001,P-1001,Customer A,426,M05,OP016,OP016,Shift B,LOT1001,LOT-1001,2023-01-09,2023-01-09 14:26:00,2023-01-09 14:37:00,Medium,16ga Steel,True,1.02
WO-10078,P-1022,P-1022,Customer G,220,M03,OP010,OP010,Shift B,,,2023-01-10,2023-01-10 14:18:00,2023-01-10 14:54:00,Medium,Stainless 304,False,1.03
WO-10079,P-1025,P-1025,Customer C,405,M06,OP018,OP018,Shift A,,,2023-01-10,2023-01-10 06:15:00,2023-01-10 07:20:00,Medium,Stainless 304,False,4.83
WO-10080,P-1000,P-1000,Customer B,146,M06,OP011,OP011,Shift B,,,2023-01-10,2023-01-10 15:12:00,2023-01-10 15:48:00,Low,Stainless 304,True,2.03
WO-10081,P-1028,P-1028,Customer B,292,M06,Angie Henderson,OP003,,LOT1001,LOT-1001,2023-01-10,2023-01-10 13:53:00,2023-01-10 14:45:00,Low,16ga Steel,False,3.53
WO-10082,PART-1005,P-1005,Customer C,159,M07,OP004,OP004,Shift A,,LOT-1001,2023-01-10,2023-01-10 05:57:00,2023-01-10 06:31:00,Low,16ga Steel,False,3.09
WO-10083,PART-1026,P-1026,Customer D,270,M06,OP012,OP012,Shift B,LOT-1006,LOT-1006,2023-01-10,2023-01-10 14:55:00,2023-01-10 15:12:00,High,14ga Steel,False,4.66
WO-10084,P1004,P-1004,Customer D,438,M06,OP011,OP011,Shift B,LOT-1004,LOT-1004,2023-01-10,2023-01-10 12:54:00,2023-01-10 14:18:00,Medium,"3/8"" Plate",True,4.61
WO-10085,PART-1031,P-1031,Customer B,455,M05,OP018,OP018,Shift A,LOT-1002,LOT-1002,2023-01-10,2023-01-10 06:00:00,2023-01-10 07:29:00,Medium,"1/4"" Plate",True,3.44
WO-10086,P-1015,P-1015,Customer D,477,M07,OP007,OP007,Shift B,LOT-1004,LOT-1004,2023-01-10,2023-01-10 14:58:00,2023-01-10 15:47:00,Medium,"3/8"" Plate",False,3.73
WO-10087,P-1009,P-1009,Customer A,442,M05,OP001,OP001,Shift B,LOT-1000,LOT-1000,2023-01-10,2023-01-10 14:48:00,2023-01-10 15:55:00,Medium,12ga Steel,False,4.93
WO-10088,P 1029,P-1029,Customer B,183,M04,OP005,OP005,Shift A,LOT-1002,LOT-1002,2023-01-10,2023-01-10 07:00:00,2023-01-10 07:50:00,Low,"1/4"" Plate",True,3.64
WO-10089,P-1005,P-1005,Customer C,326,M07,OP014,OP014,,LOT1001,LOT-1001,2023-01-10,2023-01-10 14:35:00,2023-01-10 15:55:00,Low,16ga Steel,False,3.09
WO-10090,P-1018,P-1018,Customer H,163,M07,OP004,OP004,Shift A,LOT1001,LOT-1001,2023-01-10,2023-01-10 06:23:00,2023-01-10 06:28:00,High,16ga Steel,True,2.78
WO-10091,P1003,P-1003,Customer D,102,M04,OP010,OP010,Shift B,,LOT-1002,2023-01-11,2023-01-11 15:26:00,2023-01-11 15:36:00,Medium,"1/4"" Plate",False,4.63
WO-10092,P-1024,P-1024,Customer E,140,M01,OP018,OP018,Shift A,,LOT-1001,2023-01-11,2023-01-11 06:41:00,2023-01-11 07:40:00,Low,16ga Steel,False,3.13
WO-10093,P-1018,P-1018,Customer H,442,M07,OP004,OP004,Shift A,LOT1001,LOT-1001,2023-01-11,2023-01-11 06:55:00,2023-01-11 07:44:00,High,16ga Steel,True,2.78
WO-10094,P 1030,P-1030,Customer G,347,M01,OP009,OP009,Shift A,LOT-1000,LOT-1000,2023-01-11,2023-01-11 07:00:00,2023-01-11 07:01:00,Medium,12ga Steel,True,2.15
WO-10095,P1003,P-1003,Customer D,327,M04,OP008,OP008,Shift B,LOT-1002,LOT-1002,2023-01-11,2023-01-11 13:50:00,2023-01-11 15:14:00,Medium,"1/4"" Plate",False,4.63
WO-10096,P-1008,P-1008,Customer G,475,M05,OP002,OP002,Shift A,LOT-1004,LOT-1004,2023-01-11,2023-01-11 06:53:00,2023-01-11 07:46:00,Low,"3/8"" Plate",False,1.97
WO-10097,P-1011,P-1011,Customer B,149,M05,OP005,OP005,Shift A,,,2023-01-11,2023-01-11 07:01:00,2023-01-11 07:33:00,High,Aluminum 5052,True,1.39
WO-10098,P1030,P-1030,Customer G,355,M01,OP010,OP010,Shift B,,LOT-1000,2023-01-11,2023-01-11 13:44:00,2023-01-11 14:55:00,Medium,12ga Steel,True,2.15
WO-10099,P-1023,P-1023,Customer F,336,M05,OP017,OP017,Shift A,LOT-1000,LOT-1000,2023-01-11,2023-01-11 07:24:00,2023-01-11 07:37:00,Medium,12ga Steel,True,2.76
WO-10100,P1014,P-1014,Customer A,341,M04,OP001,OP001,,LOT-1000,LOT-1000,2023-01-11,2023-01-11 14:59:00,2023-01-11 15:58:00,Low,12ga Steel,False,0.62
WO-10101,P-1019,P-1019,Customer E,353,M05,OP007,OP007,Shift B,,LOT-1001,2023-01-11,2023-01-11 12:55:00,2023-01-11 14:24:00,Medium,16ga Steel,True,0.85
WO-10102,P-1026,P-1026,Customer D,199,M06,OP017,OP017,Shift A,LOT-1003,LOT-1003,2023-01-12,2023-01-12 06:21:00,2023-01-12 07:17:00,High,14ga Steel,False,4.66
WO-10103,P-1015,P-1015,Customer D,107,M07,OP003,OP003,Shift B,LOT-1004,LOT-1004,2023-01-12,2023-01-12 14:05:00,2023-01-12 15:03:00,Medium,"3/8"" Plate",False,3.73
WO-10104,P 1005,P-1005,Customer C,412,M07,OP020,OP020,Shift A,,LOT-1001,2023-01-12,2023-01-12 07:07:00,2023-01-12 07:15:00,Low,16ga Steel,False,3.09
WO-10105,PART-1013,P-1013,Customer D,84,M02,OP009,OP009,Shift A,LOT-1009,LOT-1009,2023-01-12,2023-01-12 05:08:00,2023-01-12 06:17:00,Low,Stainless 304,True,2.94
WO-10106,p-1016,P-1016,Customer G,131,M05,OP004,OP004,Shift A,,LOT-1006,2023-01-12,2023-01-12 06:20:00,2023-01-12 06:22:00,Low,14ga Steel,False,4.13
WO-10107,p-1011,P-1011,Customer B,272,M06,OP001,OP001,Shift B,,,2023-01-12,2023-01-12 14:31:00,2023-01-12 15:28:00,High,Aluminum 5052,True,1.39
WO-10108,P1032,P-1032,Customer F,25,M06,Carla Gray,OP020,,,,2023-01-12,2023-01-12 06:28:00,2023-01-12 07:29:00,Medium,Aluminum 5052,False,2.02
WO-10109,P-1025,P-1025,Customer C,321,M06,OP003,OP003,Shift B,LOT-1009,LOT-1009,2023-01-12,2023-01-12 14:41:00,2023-01-12 14:57:00,Medium,Stainless 304,False,4.83
WO-10110,P-1017,P-1017,Customer D,230,M01,OP011,OP011,,,,2023-01-12,2023-01-12 14:00:00,2023-01-12 15:29:00,High,Aluminum 5052,False,4.9
WO-10111,P-1007,P-1007,Customer B,58,M02,OP017,OP017,Shift A,LOT1001,LOT-1001,2023-01-12,2023-01-12 06:45:00,2023-01-12 07:25:00,Medium,16ga Steel,True,0.78
WO-10112,P-1016,P-1016,Customer G,231,M05,OP006,OP006,,LOT-1003,LOT-1003,2023-01-12,2023-01-12 14:06:00,2023-01-12 14:53:00,Low,14ga Steel,False,4.13
WO-10113,P-1008,P-1008,Customer G,350,M05,OP020,OP020,Shift A,LOT-1004,LOT-1004,2023-01-12,2023-01-12 05:32:00,2023-01-12 06:26:00,Low,"3/8"" Plate",False,1.97
WO-10114,P1003,P-1003,Customer D,124,M04,OP016,OP016,Shift B,,LOT-1002,2023-01-12,2023-01-12 13:25:00,2023-01-12 14:09:00,Medium,"1/4"" Plate",False,4.63
WO-10115,PART-1023,P-1023,Customer F,434,M02,OP013,OP013,Shift A,LOT-1000,LOT-1000,2023-01-12,2023-01-12 06:35:00,2023-01-12 06:38:00,Medium,12ga Steel,True,2.76
WO-10116,P1017,P-1017,Customer D,45,M01,OP010,OP010,Shift B,LOT-1005,LOT-1005,2023-01-13,2023-01-13 13:15:00,2023-01-13 14:36:00,High,Aluminum 5052,False,4.9
WO-10117,P1001,P-1001,Customer A,407,M07,OP019,OP019,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 06:03:00,2023-01-13 07:19:00,Medium,16ga Steel,True,1.02
WO-10118,P-1005,P-1005,Customer C,227,M07,OP005,OP005,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 05:21:00,2023-01-13 06:17:00,Low,16ga Steel,False,3.09
WO-10119,P-1026,P-1026,Customer D,357,M06,OP007,OP007,Shift B,,LOT-1006,2023-01-13,2023-01-13 14:00:00,2023-01-13 15:07:00,High,14ga Steel,False,4.66
WO-10120,p-1019,P-1019,Customer E,401,M06,OP009,OP009,Shift A,,LOT-1001,2023-01-13,2023-01-13 06:32:00,2023-01-13 07:13:00,Medium,16ga Steel,True,0.85
WO-10121,P1007,P-1007,Customer B,352,M02,OP018,OP018,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 06:23:00,2023-01-13 06:32:00,Medium,16ga Steel,True,0.78
WO-10122,P-1025,P-1025,Customer C,217,M06,Holly Wood,OP017,Shift A,LOT-1009,LOT-1009,2023-01-13,2023-01-13 06:43:00,2023-01-13 07:36:00,Medium,Stainless 304,False,4.83
WO-10123,P1018,P-1018,Customer H,195,M06,OP017,OP017,,LOT1001,LOT-1001,2023-01-13,2023-01-13 07:40:00,2023-01-13 07:53:00,High,16ga Steel,True,2.78
WO-10124,p-1025,P-1025,Customer C,49,M06,OP017,OP017,Shift A,LOT-1009,LOT-1009,2023-01-16,2023-01-16 06:07:00,2023-01-16 06:21:00,Medium,Stainless 304,False,4.83
WO-10125,P-1033,P-1033,Customer F,141,M04,OP015,OP015,Shift A,LOT-1007,LOT-1007,2023-01-16,2023-01-16 04:58:00,2023-01-16 06:15:00,Medium,Stainless 304,True,4.52
WO-10126,P1009,P-1009,Customer A,306,M05,OP005,OP005,Shift A,LOT-1000,LOT-1000,2023-01-16,2023-01-16 06:36:00,2023-01-16 07:48:00,Medium,12ga Steel,False,4.93
WO-10127,P-1020,P-1020,Customer A,38,M06,OP006,OP006,Shift B,LOT-1005,LOT-1005,2023-01-16,2023-01-16 15:41:00,2023-01-16 15:50:00,Low,Aluminum 5052,False,3.38
WO-10128,P1019,P-1019,Customer E,206,M06,OP012,OP012,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 13:29:00,2023-01-16 14:39:00,Medium,16ga Steel,True,0.85
WO-10129,P-1002,P-1002,Customer E,41,M01,OP016,OP016,Shift B,LOT-1005,LOT-1005,2023-01-16,2023-01-16 14:49:00,2023-01-16 15:32:00,Medium,Aluminum 5052,False,4.78
WO-10130,P-1005,P-1005,Customer C,91,M07,OP002,OP002,Shift A,LOT1001,LOT-1001,2023-01-16,2023-01-16 06:57:00,2023-01-16 07:33:00,Low,16ga Steel,False,3.09
WO-10131,P-1024,P-1024,Customer E,295,M01,OP010,OP010,Shift B,,LOT-1001,2023-01-16,2023-01-16 14:28:00,2023-01-16 15:04:00,Low,16ga Steel,False,3.13
WO-10132,P 1016,P-1016,Customer G,367,M05,OP015,OP015,Shift A,LOT-1006,LOT-1006,2023-01-16,2023-01-16 07:03:00,2023-01-16 07:19:00,Low,14ga Steel,False,4.13
WO-10133,P1005,P-1005,Customer C,494,M07,OP014,OP014,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 13:15:00,2023-01-16 14:42:00,Low,16ga Steel,False,3.09
WO-10134,PART-1033,P-1033,Customer F,258,M04,Holly Wood,OP017,Shift A,LOT-1009,LOT-1009,2023-01-16,2023-01-16 06:04:00,2023-01-16 06:21:00,Medium,Stainless 304,True,4.52
WO-10135,P-1009,P-1009,Customer A,402,M05,OP013,OP013,Shift A,,LOT-1000,2023-01-16,2023-01-16 05:26:00,2023-01-16 06:42:00,Medium,12ga Steel,False,4.93
WO-10136,P-1024,P-1024,Customer E,220,M01,OP005,OP005,Shift A,LOT1001,LOT-1001,2023-01-16,2023-01-16 06:16:00,2023-01-16 06:46:00,Low,16ga Steel,False,3.13
WO-10137,p-1028,P-1028,Customer B,198,M06,OP012,OP012,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 14:44:00,2023-01-16 15:57:00,Low,16ga Steel,False,3.53
WO-10138,p-1028,P-1028,Customer B,420,M06,OP008,OP008,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 14:38:00,2023-01-16 15:10:00,Low,16ga Steel,False,3.53
WO-10139,P-1030,P-1030,Customer G,92,M01,OP014,OP014,Shift B,LOT-1000,LOT-1000,2023-01-17,2023-01-17 13:13:00,2023-01-17 14:18:00,Medium,12ga Steel,True,2.15
WO-10140,P-1009,P-1009,Customer A,23,M05,OP003,OP003,Shift B,LOT-1000,LOT-1000,2023-01-17,2023-01-17 15:06:00,2023-01-17 15:56:00,Medium,12ga Steel,False,4.93
